,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
252,@CNN,0.0,Sun Mar 25 22:00:08 +0000 2018,0.0,1.0,0.0,"Stormy Daniels interview adds to ""60 Minutes"" legacy of big hits https://t.co/q5LxP4G2ku https://t.co/IXtljm6IP9",253
253,@CNN,-0.0772,Sun Mar 25 21:45:11 +0000 2018,0.126,0.874,0.0,Facebook's Zuckerberg says sorry in full-page newspaper ads https://t.co/uchVl0f1EI https://t.co/VkKlB7VzmQ,254
254,@CNN,0.0,Sun Mar 25 21:30:11 +0000 2018,0.0,1.0,0.0,A conservative media executive who is close with President Trump said the President told him Saturday he expects mo… https://t.co/syUiXUZP4i,255
255,@CNN,-0.0997,Sun Mar 25 21:15:04 +0000 2018,0.109,0.805,0.086,President Trump's attorney says husband-and-wife legal team Joseph diGenova and Victoria Toensing won't join legal… https://t.co/fTlnDqJ4Bf,256
256,@CNN,0.0,Sun Mar 25 21:03:28 +0000 2018,0.0,1.0,0.0,"Everything you need to know ahead of Stormy Daniels' ""60 Minutes"" interview https://t.co/9goGs0LO3J https://t.co/xJ0RDRT1GW",257
257,@CNN,0.4767,Sun Mar 25 20:45:06 +0000 2018,0.0,0.78,0.22,Monégasque racing driver Charles Leclerc impresses on debut in Australia https://t.co/lR1qvWSlYn https://t.co/KmYSAA2JVX,258
258,@CNN,-0.6124,Sun Mar 25 20:30:04 +0000 2018,0.294,0.706,0.0,Wisconsin students take gun reform fight to House Speaker Paul Ryan's hometown https://t.co/jpKPV0Lm5p https://t.co/wsP3WVHlcH,259
259,@CNN,0.1901,Sun Mar 25 20:15:19 +0000 2018,0.0,0.907,0.093,"Renaissance popes like Rodrigo Borgia made incredible cultural advancements, but at what cost? The price of progres… https://t.co/GnxJ683r5B",260
260,@CNN,0.0,Mon Mar 26 00:30:09 +0000 2018,0.0,1.0,0.0,Sebastian Vettel repeats 2017 victory in season-opening race of the 2018 Formula One season in Australia… https://t.co/ZhQ551Frji,261
261,@CNN,0.128,Mon Mar 26 00:15:04 +0000 2018,0.12,0.737,0.143,"President Trump's approval holds steady as GOP shrinks Democrats' edge in midterms fight, Fox News poll finds… https://t.co/vEC5UV193r",262
262,@CNN,-0.6369,Mon Mar 26 00:00:04 +0000 2018,0.257,0.743,0.0,CNN commentator and former Pennsylvania GOP Sen. Rick Santorum suggests students protesting for gun control legisla… https://t.co/6e7Htsm73C,263
